concurrency,successful_requests,error_percentage,rate_limit,throughput,average_latency,timeout
175,1261906,425.7941667,40000,3636.235069,61,20
175,722029,200.8454167,40000,2005.25734,80,60
175,338394,40.9975,40000,940.1948772,97,100
175,296643,23.60125,40000,825.0373382,105,140
175,1333305,270.3625,60000,3703.234103,46,20
175,738122,105.0338889,60000,2049.792278,77,60
175,438252,21.73666667,60000,1225.355302,95,100
175,333686,-7.309444444,60000,1138.153093,99,140
200,1325297,2108.828333,10000,3046.137453,55,20
200,780311,1200.518333,10000,2331.207204,79,60
200,217185,261.975,10000,750.8946013,110,100
200,174993,191.655,10000,486.4592136,140,140
200,1362926,1035.771667,20000,3507.611379,56,20
200,849891,608.2425,20000,2360.290381,80,60
200,310375,158.6458333,20000,862.2318157,108,100
200,224885,87.40416667,20000,624.6198286,128,140
200,1343505,459.79375,40000,3681.129194,78,20
200,899903,274.9595833,40000,2499.223769,84,60
200,399356,66.39833333,40000,1109.054201,102,100
200,329482,37.28416667,40000,915.0015691,122,140
200,1354094,276.1372222,60000,3761.2364,52,20
200,741262,105.9061111,60000,2374.605051,78,60
200,440161,22.26694444,60000,1337.637345,99,100
200,421895,17.19305556,60000,1173.361405,108,140
225,1326759,2111.265,10000,3129.077766,70,20
225,851595,1319.325,10000,2642.871625,80,60
225,423486,605.81,10000,1176.235644,118,100
225,246636,311.06,10000,684.8184635,155,140
225,1378957,1049.130833,20000,3691.034579,60,20
225,931077,675.8975,20000,2585.822201,81,60
225,413530,244.6083333,20000,1307.691578,114,100
225,232440,93.7,20000,761.9635504,135,140
225,1366362,469.3175,40000,3715.880711,82,20
225,921663,284.02625,40000,2689.362878,88,60
225,500688,108.62,40000,1390.591411,109,100
225,356102,48.37583333,40000,988.8316247,124,140
225,1365982,279.4394444,60000,3825.07913,61,20
225,999510,177.6416667,60000,2675.869204,82,60
225,480206,33.39055556,60000,1774.918592,114,100
225,478253,32.84805556,60000,1327.960438,135,140
250,1337949,2129.915,10000,3542.137453,84,20
250,860561,1334.268333,10000,2834.21912,87,60
250,540656,801.0933333,10000,1501.313444,124,100
250,263339,338.8983333,10000,900.5752158,159,140
250,1386439,1055.365833,20000,3724.817451,79,20
250,976565,713.8041667,20000,2989.876968,83,60
250,662101,451.7508333,20000,1838.648494,117,100
250,322782,168.985,20000,1029.614224,156,140
250,1395644,481.5183333,40000,3798.921027,86,20
250,976966,307.0691667,40000,2713.214118,89,60
250,678515,182.7145833,40000,1884.193397,117,100
250,433924,80.80166667,40000,1205.515226,144,140
250,1372426,281.2294444,60000,3847.200583,79,20
250,1014920,181.9222222,60000,2735.349417,89,60
250,711393,97.60916667,60000,1975.526447,116,100
250,503469,39.8525,60000,1398.32302,142,140
275,1369693,2182.821667,10000,3735.337144,91,20
275,890884,1384.806667,10000,3124.17607,109,60
275,629975,949.9583333,10000,1862.090472,137,100
275,372919,521.5316667,10000,1003.364562,168,140
275,1391090,1059.241667,20000,3781.001385,93,20
275,983351,719.4591667,20000,3234.404336,96,60
275,714144,495.12,20000,1983.121871,128,100
275,462185,285.1541667,20000,1123.155744,160,140
275,1396443,481.85125,40000,3828.373143,91,20
275,981324,308.885,40000,2844.300503,93,60
275,688204,186.7516667,40000,1924.646573,127,100
275,449194,87.16416667,40000,1442.59179,145,140
275,1388757,285.7658333,60000,3896.109657,89,20
275,1031423,186.5063889,60000,2864.403485,95,60
275,786611,118.5030556,60000,2184.338848,119,100
275,537137,49.20472222,60000,1491.181509,149,140
300,1147764,1812.94,10000,3769.058695,96,20
